1 input_9_1_1 AGM6 Test Case.asc - no wind ' AGM6 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
-0.00778358     -0.0903006      0.00940354      -6.53581        1.68624e-005    
-1.96249e-006   1.87966e-006    0.00432163      -0.00151754     -0.00264268     
0.0143424       -0.0973493      -0.3529         6.28234         -3.92491        
-16.1967        -2.98261        0.322522        1.07181         -9.91182        
1.21011         -12.8898        2               0               0               
3.98838e-005    0.142195        -0.417757       0               0               
0               0               6886.23         0               0               
100             8               1               
97.34           2               1.09902         84657.3         0               
0               0               30.1309         -44.944         0.275107        
2.95169         5.12979         2.93988         0.263801        -0.375503       
1.87839         -1.27536        33339.5         9760.1          -99.9221        
373.566         99.9221         30.5048         -47.8858        1.05854         
-0.0935806      1110            0               250.005         0.757394        
0               0               6.49            0.0745384       1.7323          
3               0               0.0104947       -0.010929       0               
0               0.0561812       3.0925          0               0.0104277       
0.010524        0               0               -6.48892        1.25618e-005    
-2.12925e-006   2.04566e-006    0.00699047      -0.00367671     -0.00601291     
0.129679        -0.153806       -0.310549       7.35224         -5.70745        
-22.1521        0.657059        -0.00240534     -0.00240534     0.657059        
1.21011         -12.8898        2               0               0               
-0.00193846     -1.64245        0.308155        0.229952        -0.228391       
0.0267491       0               0.196192        0               0               
100             8               1               
3.002           0               0.929894        25030.1         0               
0               0               -0              -5.70281        -0.0152095      
0.044941        175.995         -0.0444179      0.00311004      -0.000105211    
-1.92412        -0.00140928     873.948         -0.0101167      -6957.31        
290.58          6957.31         -0.00153542     -5.6584         -0.00350765     
-0.000296135    1360            11199.5         0.00242707      0.525942        
0               0               2.69406         0.0500991       2.24425         
2.24828         0               0               0               0               
0               0               0               0               0               
0               0               0               0.15773         5.09458e-007    
4.59548e-006    1.60944e-006    0.00164769      0.00297981      -0.000312669    
0.103466        0.0244853       -0.00108242     3.51365         2.90845         
11.5951         1.41866         0.187777        0.187777        1.41866         
17.0083         -6.04242        2               0               0               
4.94045e-007    0.0171924       0.00181248      0               0               
0               0               34334.2         0               0               
100             9               1               
79.274          0               1.21272         56191.8         0               
0               0               27.7984         -31.8332        -0.0413882      
0.843236        -114.331        -0.347439       -0.768321       0.138653        
-1.47995        0.237074        28980.2         7318.11         -4926           
389.095         4926            26.8972         -31.483         -0.0836425      
0.176225        1110            0               250.005         0.677385        
0               0               4.77089         0.0587026       2.77555         
3               0               -0.00781884     0.000583431     -0.214312       
0.0215957       0.215919        3.0431          0               8.54429e-005    
-0.00694235     -0.0921697      0.0101633       5.01016         3.4449e-007     
4.25087e-006    1.63062e-006    0.00553967      0.00154874      -0.000422347    
0.308186        0.425971        0.610536        17.7275         23.4683         
45.6064         -2.98065        0.340153        1.15584         -10.1283        
1.25809         -12.5129        2               0               0               
3.09634e-005    0.226083        -0.400619       0               0               
0               0               6886.38         0               0               
100             9               1               
97.487          2               1.10079         84930.8         0               
0               0               30.5835         -45.344         0.225655        
3.00153         5.22159         2.98908         0.273038        -0.405552       
2.138           -1.42572        33340.3         9760.39         -99.8109        
374.167         99.8109         30.9784         -48.335         1.08203         
-0.0985268      1110            0               250.005         0.758714        
0               0               6.51025         0.0744849       1.70427         
3               0               0.013781        -0.0120734      0               
0               0.0565878       3.11436         0               0.0116044       
0.0138145       0               0               1.31545         1.94748e-006    
7.34762e-007    4.86043e-007    0.00695088      0.00432405      0.0116524       
0.430637        0.515767        0.63882         24.4751         31.9395         
56.3307         0.650544        -0.00268922     -0.00268922     0.650544        
1.25809         -12.5129        2               0               0               
-0.00232399     -1.67428        0.310506        0.292891        -0.292521       
